Official name of position,internal disk name,internal naming per Disk,Module,flex cable,HubID,PC position phi,PC position Mirror,PC port,PC identifier,PC name,DCDC,DCDC J11/J12,DCDC channel,DCDC name,Filterboard module power ID,Filterboard module power,POH board,POH Bundle,POH SN,DOH bundle,DOH QR,DOH A/B,CCU,CCU channel,PP0 Adapter/FED,PP0 Ad.Slot/FED,PP0 Adapter/FEC,PP0 Ad.Slot/FEC,internal POH no,POH fiber color,FED Fiber,FED channel,FED position,FED receiver,FED ID,FEC/FED crate,FEC ID,FEC position,mfec,mfecchannel,HV group,nominal HV,old FED ID,Cooling loop,tkFEC connection,,,,,,,
FPix_BmI_D1_BLD1_PNL2_RNG1,HC1-Disk1-Inner,1T,M-H-1-34,7062,15,1Ta,1TA,6,PR115,portcard_FPix_BmI_D1_PRT1,PB-12,J12,4,dcdc_FPix_BmI_D1_PRT1,Disk1_RG1,CI-A 008,P97,A1,SN122498/0045,B8,30201210004620,A,0x7b,0x10,FPix -z up left 2,6,FPix -z up left 3,5,1,brown-4,4,7/8,1,t,1320,down center,13,9,1,1,D1-RG1-HV2,,1294,mA,2,BmI,PortCard Position:,,,,,
FPix_BmI_D1_BLD2_PNL2_RNG1,,2T,M-H-1-39,7065,14,1Ta,1TA,4,PR115,portcard_FPix_BmI_D1_PRT1,PB-12,J12,4,dcdc_FPix_BmI_D1_PRT1,Disk1_RG1,CI-A 008,P97,A2,SN122498/0041,B8,30201210004620,A,0x7b,0x10,FPix -z up left 2,5,FPix -z up left 3,5,2,brown-4,16,31/32,1,b,1320,down center,13,9,1,1,D1-RG1-HV2,,1294,mA,2,,XYZ-#:,X: disk number 1-3,,,,
FPix_BmI_D1_BLD3_PNL2_RNG1,,3T,M-H-2-04,7075,13,1Ta,1TA,2,PR115,portcard_FPix_BmI_D1_PRT1,PB-12,J12,4,dcdc_FPix_BmI_D1_PRT1,Disk1_RG1,CI-A 008,P97,A3,SN122498/0046,B8,30201210004620,A,0x7b,0x10,FPix -z up left 2,4,FPix -z up left 3,5,3,brown-4,4,7/8,2,t,1321,down center,13,9,1,1,D1-RG1-HV2,,1295,mA,2,,,Y: top/bottom,,,,
FPix_BmI_D1_BLD4_PNL2_RNG1,,4T,M-H-2-17,7032,15,1Tb,1TB,6,PR117,portcard_FPix_BmI_D1_PRT2,PB-1,J12,4,dcdc_FPix_BmI_D1_PRT2,Disk1_RG2,CI-A 014,P98,A5,SN122498/0028,B8,30201210004620,B,0x7c,0x10,FPix -z up left 2,2,FPix -z up left 3,5,5,orange-2,2,3/4,3,t,1322,down center,13,9,1,2,D1-RG2-HV2,,1296,mA,2,,,Z: position phi (a-d),,Z: position mirror (A-D),,
FPix_BmI_D1_BLD5_PNL2_RNG1,,5T,M-H-2-26,7031,14,1Tb,1TB,2,PR117,portcard_FPix_BmI_D1_PRT2,PB-1,J12,4,dcdc_FPix_BmI_D1_PRT2,Disk1_RG2,CI-A 014,P98,B7,SN122498/0044,B8,30201210004620,B,0x7c,0x10,FPix -z up left 3,6,FPix -z up left 3,5,7,orange-2,2,3/4,4,t,1323,down center,13,9,1,2,D1-RG2-HV2,,1297,mA,2,,,#: Slot number (1-7),,,,
FPix_BmI_D1_BLD6_PNL2_RNG1,,6T,M-H-2-28,7063,15,1Tc,1TC,6,PR124,portcard_FPix_BmI_D1_PRT3,PB-19,J12,4,dcdc_FPix_BmI_D1_PRT3,Disk1_RG3,CI-A 045,P43,C15,SN122498/0035,C12,30201210004691,A,0x7e,0x10,FPix -z down left 6,1,FPix -z down left 6,4,8,brown-4,16,31/32,4,b,1323,down center,14,10,1,1,D1-RG3-HV2,,1297,mA,2,,,,,,,
FPix_BmI_D1_BLD7_PNL2_RNG1,,7T,M-H-2-36,7060,14,1Tc,1TC,4,PR124,portcard_FPix_BmI_D1_PRT3,PB-19,J12,4,dcdc_FPix_BmI_D1_PRT3,Disk1_RG3,CI-A 045,P43,C16,SN122498/0039,C12,30201210004691,A,0x7e,0x10,FPix -z down left 5,6,FPix -z down left 6,4,9,brown-4,4,7/8,5,t,1324,down center,14,10,1,1,D1-RG3-HV2,,1298,mA,2,,BmI:,-z +x (left),,,,
FPix_BmI_D1_BLD8_PNL2_RNG1,,8T,M-H-2-47,7071,13,1Tc,1TC,2,PR124,portcard_FPix_BmI_D1_PRT3,PB-19,J12,4,dcdc_FPix_BmI_D1_PRT3,Disk1_RG3,CI-A 045,P43,D17,SN122498/0027,C12,30201210004691,A,0x7e,0x10,FPix -z down left 5,5,FPix -z down left 6,4,10,brown-4,16,31/32,5,b,1324,down center,14,10,1,1,D1-RG3-HV2,,1298,mA,2,,BmO:,-z -x (right),,,,
FPix_BmI_D1_BLD9_PNL2_RNG1,,9T,M-I-1-26,7066,15,1Td,1TD,6,PR123,portcard_FPix_BmI_D1_PRT4,PB-29,J12,4,dcdc_FPix_BmI_D1_PRT4,Disk1_RG4,CI-A 006,P45,D19,SN122498/0052,C12,30201210004691,B,0x7d,0x10,FPix -z down left 5,3,FPix -z down left 6,4,12,orange-2,14,27/28,6,b,1325,down center,14,10,1,2,D1-RG4-HV2,,1299,mA,2,,BpI:,+z +x (right),,,,
FPix_BmI_D1_BLD10_PNL2_RNG1,,10T,M-I-1-50,7057,14,1Td,1TD,4,PR123,portcard_FPix_BmI_D1_PRT4,PB-29,J12,4,dcdc_FPix_BmI_D1_PRT4,Disk1_RG4,CI-A 006,P45,D20,SN122498/0051,C12,30201210004691,B,0x7d,0x10,FPix -z down left 5,2,FPix -z down left 6,4,13,orange-2,2,3/4,7,t,1326,down center,14,10,1,2,D1-RG4-HV2,,1300,mA,2,,BpO:,+z -x (left),,,,
